input,output
"CS 479 prerequisites: One of CS 335, CS 370, CS 371/AMATH 242; and STAT 206 with at least 60% or STAT 230 or STAT 240","{
  ""course_id"": ""CS 479"",
  ""prerequisites"": [
    {
      ""one_of"": [
        ""CS 335"",
        ""CS 370"",
        {
          ""one_of"": [""CS 371"", ""AMATH 242""]
        }
      ]
    },
    {
      ""one_of"": [
        {
          ""course"": ""STAT 206"",
          ""minimum_grade"": 60
        },
        ""STAT 230"",
        ""STAT 240""
      ]
    }
  ],
  ""restrictions"": []
}
"
"CS 484 prerequisites: (One of AMATH 242/CS 371, CS 370, MATH 235, MATH 245) and (One of STAT 206, STAT 230 or 240); Computer Science students only","{
  ""course_id"": ""CS 484"",
  ""prerequisites"": [
    {
      ""one_of"": [
        {
          ""one_of"": [""AMATH 242"", ""CS 371""]
        },
        ""CS 370"",
        ""MATH 235"",
        ""MATH 245""
      ]
    },
    {
      ""one_of"": [
        ""STAT 206"",
        ""STAT 230"",
        ""STAT 240""
      ]
    }
  ],
  ""restrictions"": [""Computer Science students only""]
}
"
"CS 486 prerequisites:
CS 341; Computer Science and BMath (Data Science) students only.","{
  ""course_id"": ""CS 486"",
  ""prerequisites"": [
    ""CS 341""
  ],
  ""restrictions"": [
    ""Computer Science and BMath (Data Science) students only""
  ]
}"
"CS 458 prerequisites:
CS 350 or SE 350. Computer Science students only.","{
  ""course_id"": ""CS 458"",
  ""prerequisites"": [
    {
      ""one_of"": [""CS 350"", ""SE 350""]
    }
  ],
  ""restrictions"": [""Computer Science students only""]
}"
"CS 456 prerequisites:
CS 350 or SE 350; Computer Science students only.","{
  ""course_id"": ""CS 456"",
  ""prerequisites"": [
    {
      ""one_of"": [""CS 350"", ""SE 350""]
    }
  ],
  ""restrictions"": [""Computer Science students only""]
}
"
"CS 488 prerequisites:
CS 341 and (CS 350 or SE 350) and (CS 370 or CS 371); Computer Science students only","{
  ""course_id"": ""CS 488"",
  ""prerequisites"": [
    ""CS 341"",
    {
      ""one_of"": [""CS 350"", ""SE 350""]
    },
    {
      ""one_of"": [""CS 370"", ""CS 371""]
    }
  ],
  ""restrictions"": [""Computer Science students only""]
}"
"CS 466 prerequisites:
CS 341; Computer Science students only","{
  ""course_id"": ""CS 466"",
  ""prerequisites"": [
    ""CS 341""
  ],
  ""restrictions"": [""Computer Science students only""]
}"
"CS 492 prerequisites:
CS 240/CS 240E; Computer Science students only","{
  ""course_id"": ""CS 492"",
  ""prerequisites"": [
    {
      ""one_of"": [""CS 240"", ""CS 240E""]
    }
  ],
  ""restrictions"": [""Computer Science students only""]
}"
"CS 451 prerequisites:
CS 341, CS 348 and (CS 350 or SE 350); Computer Science and BMath (Data Science) students only","{
  ""course_id"": ""CS 451"",
  ""prerequisites"": [
    ""CS 341"",
    ""CS 348"",
    {
      ""one_of"": [""CS 350"", ""SE 350""]
    }
  ],
  ""restrictions"": [""Computer Science and BMath (Data Science) students only""]
}"
"ECON 290 prerequisites:
ECON101 or ECON100/COMM103;ECON211 or one of MATH128,138,148; ECON221 or one of ARTS280,ENVS278,KIN222,232,PSCI214/314,PSYCH292, REC371, SDS250R, SMF230, SOC/LS280,STAT202, 206,211,220,230,240, SWREN250R; or Math/FARM students","{
  ""course_id"": ""ECON 290"",
  ""prerequisites"": [
    {
      ""one_of"": [
        ""Math/FARM students"",
        {
          ""all_of"": [
            {
              ""one_of"": [""ECON101"", {""one_of"": [""ECON100"", ""COMM103""]}]
            },
            {
              ""one_of"": [""ECON211"", ""MATH128"", ""MATH138"", ""MATH148""]
            },
            {
              ""one_of"": [
                ""ECON221"",
                ""ARTS280"",
                ""ENVS278"",
                ""KIN222"",
                ""KIN232"",
                ""PSCI214"",
                ""PSCI314"",
                ""PSYCH292"",
                ""REC371"",
                ""SDS250R"",
                ""SMF230"",
                {""one_of"": [""SOC280"", ""LS280""]},
                ""STAT202"",
                ""STAT206"",
                ""STAT211"",
                ""STAT220"",
                ""STAT230"",
                ""STAT240"",
                ""SWREN250R""
              ]
            }
          ]
        }
      ]
    }
  ],
  ""restrictions"": []
}
"
